store_id,store_name,link_url
00000001,ハート・ストリングス,https://tabelog.com/fukuoka/A4001/A400102/40000521/
00000002,せいもん払い,https://tabelog.com/fukuoka/A4001/A400102/40000029/
00000003,やまちゃん 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40029379/
00000004,宝雲亭,https://tabelog.com/fukuoka/A4001/A400102/40000125/
00000005,地鶏屋 亜門,https://tabelog.com/fukuoka/A4001/A400102/40025366/
00000006,第8八千代丸,https://tabelog.com/fukuoka/A4001/A400102/40054785/
00000007,ふじけん　 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40007038/
00000008,博多中洲 ぢどり屋 中洲本店,https://tabelog.com/fukuoka/A4001/A400102/40048917/
00000009,つきよし,https://tabelog.com/fukuoka/A4001/A400102/40006579/
00000010,博多味処 灯,https://tabelog.com/fukuoka/A4001/A400102/40044922/
00000011,魚喜,https://tabelog.com/fukuoka/A4001/A400102/40064905/
00000012,居酒家 たかはし,https://tabelog.com/fukuoka/A4001/A400102/40014409/
00000013,博多 海亭,https://tabelog.com/fukuoka/A4001/A400102/40002149/
00000014,ぢどり屋 多門通り店,https://tabelog.com/fukuoka/A4001/A400102/40037823/
00000015,王餃子,https://tabelog.com/fukuoka/A4001/A400102/40000183/
00000016,煮こみ 中洲川端店,https://tabelog.com/fukuoka/A4001/A400102/40054190/
00000017,飯屋 楽,https://tabelog.com/fukuoka/A4001/A400102/40005518/
00000018,鳥善  西中洲別館,https://tabelog.com/fukuoka/A4001/A400102/40005661/
00000019,博多もつ鍋 前田屋 リバーサイド中洲店,https://tabelog.com/fukuoka/A4001/A400102/40048491/
00000020,味噌汁田,https://tabelog.com/fukuoka/A4001/A400102/40012700/
00000021,ジェリービーンズ,https://tabelog.com/fukuoka/A4001/A400102/40046098/
00000022,博多 一梅,https://tabelog.com/fukuoka/A4001/A400102/40004175/
00000023,博多 肉色,https://tabelog.com/fukuoka/A4001/A400102/40050588/
00000024,おかず家 由ん,https://tabelog.com/fukuoka/A4001/A400102/40042182/
00000025,魚菜肴処 幸陽丸,https://tabelog.com/fukuoka/A4001/A400102/40016684/
00000026,ホウテン食堂 奉天本家,https://tabelog.com/fukuoka/A4001/A400102/40000394/
00000027,酒一番,https://tabelog.com/fukuoka/A4001/A400102/40002107/
00000028,鉄なべ であい橋店,https://tabelog.com/fukuoka/A4001/A400102/40001517/
00000029,THE LIVELY KITCHEN FUKUOKA HAKATA,https://tabelog.com/fukuoka/A4001/A400102/40051863/
00000030,コットン・フィールズ,https://tabelog.com/fukuoka/A4001/A400102/40004877/
00000031,豚そば 月や,https://tabelog.com/fukuoka/A4001/A400102/40065848/
00000032,ケンゾーカフェ,https://tabelog.com/fukuoka/A4001/A400102/40003592/
00000033,兼平鮮魚店 中洲川端店,https://tabelog.com/fukuoka/A4001/A400102/40004026/
00000034,on A TABLE,https://tabelog.com/fukuoka/A4001/A400102/40037436/
00000035,一富,https://tabelog.com/fukuoka/A4001/A400102/40014859/
00000036,牛もつ鍋 川端,https://tabelog.com/fukuoka/A4001/A400102/40013833/
00000037,麺処 恭や,https://tabelog.com/fukuoka/A4001/A400102/40032703/
00000038,ぞうすいの店 お通 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40002679/
00000039,司,https://tabelog.com/fukuoka/A4001/A400102/40005719/
00000040,中洲 あほう鳥 本店,https://tabelog.com/fukuoka/A4001/A400102/40001650/
00000041,博多もつ鍋　梟,https://tabelog.com/fukuoka/A4001/A400102/40004866/
00000042,もつ焼 狼煙 博多上川端本陣,https://tabelog.com/fukuoka/A4001/A400102/40062711/
00000043,ニクスイハヤト,https://tabelog.com/fukuoka/A4001/A400102/40048412/
00000044,串揚げ 串匠 下川端店,https://tabelog.com/fukuoka/A4001/A400102/40058525/
00000045,MORRIS'HIPPO 博多リバレイン店,https://tabelog.com/fukuoka/A4001/A400102/40032587/
00000046,酔灯屋 祇園店,https://tabelog.com/fukuoka/A4001/A400102/40000086/
00000047,菴離,https://tabelog.com/fukuoka/A4001/A400102/40002004/
00000048,屋台おかもと 川端店,https://tabelog.com/fukuoka/A4001/A400102/40058174/
00000049,博多　ほてい屋 下川端町本店,https://tabelog.com/fukuoka/A4001/A400102/40030210/
00000050,久岡家,https://tabelog.com/fukuoka/A4001/A400102/40034875/
00000051,土鍋炊きごはん あさひ,https://tabelog.com/fukuoka/A4001/A400102/40060730/
00000052,はんごう雑炊の店 山,https://tabelog.com/fukuoka/A4001/A400102/40047130/
00000053,餃子のたっちゃん 中洲川端店,https://tabelog.com/fukuoka/A4001/A400102/40054705/
00000054,炭火・焼鳥 鶫 中洲川端店,https://tabelog.com/fukuoka/A4001/A400102/40042276/
00000055,広島乃風 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40046084/
00000056,中洲おでん,https://tabelog.com/fukuoka/A4001/A400102/40005841/
00000057,居食家　まるみ,https://tabelog.com/fukuoka/A4001/A400102/40006968/
00000058,博多鯖郎,https://tabelog.com/fukuoka/A4001/A400102/40036305/
00000059,武ちゃん,https://tabelog.com/fukuoka/A4001/A400102/40041197/
00000060,とんかつ 光 冷泉公園店,https://tabelog.com/fukuoka/A4001/A400102/40059438/
00000061,天ぷら だるま いちばん,https://tabelog.com/fukuoka/A4001/A400102/40056595/
00000062,本場韓国料理 イッスル,https://tabelog.com/fukuoka/A4001/A400102/40050016/
00000063,炉端あほう鳥,https://tabelog.com/fukuoka/A4001/A400102/40052849/
00000064,札幌かすそばtoてんぷら風土 博多中洲店,https://tabelog.com/fukuoka/A4001/A400102/40061112/
00000065,祥茶ん,https://tabelog.com/fukuoka/A4001/A400102/40000751/
00000066,中州隠れ家のお店　炭焼　神（JIN),https://tabelog.com/fukuoka/A4001/A400102/40048436/
00000067,博多ん肴屋 五六桜,https://tabelog.com/fukuoka/A4001/A400102/40043828/
00000068,牛タンと蕎麦のさえ木,https://tabelog.com/fukuoka/A4001/A400102/40048444/
00000069,一優亭 冷泉店,https://tabelog.com/fukuoka/A4001/A400102/40020977/
00000070,焼肉処 石原牛,https://tabelog.com/fukuoka/A4001/A400102/40056464/
00000071,旬菜　佐々,https://tabelog.com/fukuoka/A4001/A400102/40019688/
00000072,MASAJIN,https://tabelog.com/fukuoka/A4001/A400102/40042548/
00000073,石田,https://tabelog.com/fukuoka/A4001/A400102/40001825/
00000074,アイリッシュパブ・ザ・ハカタハープ,https://tabelog.com/fukuoka/A4001/A400102/40001513/
00000075,ビアレストラン オークラブルワリー,https://tabelog.com/fukuoka/A4001/A400102/40043391/
00000076,あご出汁餃子 ゆでタン さんじ 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40054062/
00000077,博多おっしょい,https://tabelog.com/fukuoka/A4001/A400102/40055892/
00000078,しゃぶしゃぶ 美食 悠太郎,https://tabelog.com/fukuoka/A4001/A400102/40047000/
00000079,祇園本陣,https://tabelog.com/fukuoka/A4001/A400102/40003491/
00000080,伊都の台所 中洲本店,https://tabelog.com/fukuoka/A4001/A400102/40047520/
00000081,博多もつ鍋 いっとく家 キャナルシティ博多前店,https://tabelog.com/fukuoka/A4001/A400102/40058913/
00000082,鳥善 中洲店,https://tabelog.com/fukuoka/A4001/A400102/40000126/
00000083,博多牛たん たん博,https://tabelog.com/fukuoka/A4001/A400102/40037552/
00000084,ステーキ&バー・ベブ,https://tabelog.com/fukuoka/A4001/A400102/40048116/
00000085,酒房 やす,https://tabelog.com/fukuoka/A4001/A400102/40013992/
00000086,中洲の屋台 小島商店 feat シラチャンラーメン,https://tabelog.com/fukuoka/A4001/A400102/40048426/
00000087,馬加処いとう,https://tabelog.com/fukuoka/A4001/A400102/40005319/
00000088,博多うまか遊び 庵,https://tabelog.com/fukuoka/A4001/A400102/40001687/
